fecha_fallecimiento,departamento,n,corte
2020-04-29,SAN MARTIN,1,2020-08-01
2020-04-29,UCAYALI,2,2020-08-01
2020-04-30,ANCASH,7,2020-08-01
2020-04-30,CALLAO,16,2020-08-01
2020-04-30,HUANUCO,1,2020-08-01
2020-04-30,ICA,9,2020-08-01
2020-04-30,LA LIBERTAD,3,2020-08-01
2020-04-30,LAMBAYEQUE,27,2020-08-01
2020-04-30,LIMA,76,2020-08-01
2020-04-30,LORETO,26,2020-08-01
2020-04-30,PIURA,15,2020-08-01
2020-04-30,UCAYALI,2,2020-08-01
2020-05-01,AMAZONAS,1,2020-08-01
2020-05-01,ANCASH,4,2020-08-01
2020-05-01,AREQUIPA,1,2020-08-01
2020-05-01,CAJAMARCA,1,2020-08-01
2020-05-01,CALLAO,10,2020-08-01
2020-05-01,HUANUCO,2,2020-08-01
2020-05-01,ICA,7,2020-08-01
2020-05-01,LA LIBERTAD,5,2020-08-01
2020-05-01,LAMBAYEQUE,22,2020-08-01
2020-05-01,LIMA,116,2020-08-01
2020-05-01,LORETO,26,2020-08-01
2020-05-01,PASCO,1,2020-08-01
2020-05-01,PIURA,13,2020-08-01
2020-05-01,TUMBES,3,2020-08-01
2020-05-01,UCAYALI,8,2020-08-01
2020-05-02,ANCASH,10,2020-08-01
2020-05-02,AREQUIPA,1,2020-08-01
2020-05-02,CALLAO,11,2020-08-01
2020-05-02,HUANUCO,1,2020-08-01
2020-05-02,ICA,4,2020-08-01
2020-05-02,JUNIN,2,2020-08-01
2020-05-02,LA LIBERTAD,8,2020-08-01
2020-05-02,LAMBAYEQUE,20,2020-08-01
2020-05-02,LIMA,90,2020-08-01
2020-05-02,LORETO,21,2020-08-01
2020-05-02,PASCO,1,2020-08-01
2020-05-02,PIURA,18,2020-08-01
2020-05-02,TACNA,1,2020-08-01
2020-05-02,TUMBES,2,2020-08-01
2020-05-02,UCAYALI,4,2020-08-01
2020-05-03,AMAZONAS,1,2020-08-01
2020-05-03,ANCASH,6,2020-08-01
2020-05-03,AYACUCHO,1,2020-08-01
2020-05-03,CALLAO,16,2020-08-01
2020-05-03,ICA,8,2020-08-01
2020-05-03,JUNIN,1,2020-08-01
2020-05-03,LA LIBERTAD,3,2020-08-01
2020-05-03,LAMBAYEQUE,23,2020-08-01
2020-05-03,LIMA,106,2020-08-01
2020-05-03,LORETO,17,2020-08-01
2020-05-03,PIURA,22,2020-08-01
2020-05-03,PUNO,1,2020-08-01
2020-05-03,UCAYALI,3,2020-08-01
2020-05-04,AMAZONAS,1,2020-08-01
2020-05-04,ANCASH,4,2020-08-01
2020-05-04,AYACUCHO,1,2020-08-01
2020-05-04,CALLAO,13,2020-08-01
2020-05-04,HUANUCO,1,2020-08-01
2020-05-04,ICA,8,2020-08-01
2020-05-04,JUNIN,3,2020-08-01
2020-05-04,LA LIBERTAD,3,2020-08-01
2020-05-04,LAMBAYEQUE,17,2020-08-01
2020-05-04,LIMA,107,2020-08-01
2020-05-04,LORETO,16,2020-08-01
2020-05-04,PIURA,16,2020-08-01
2020-05-04,TUMBES,2,2020-08-01
2020-05-04,UCAYALI,2,2020-08-01
2020-05-05,AMAZONAS,2,2020-08-01
2020-05-05,ANCASH,5,2020-08-01
2020-05-05,CALLAO,16,2020-08-01
2020-05-05,HUANUCO,3,2020-08-01
2020-05-05,ICA,5,2020-08-01
2020-05-05,LA LIBERTAD,4,2020-08-01
2020-05-05,LAMBAYEQUE,25,2020-08-01
2020-05-05,LIMA,125,2020-08-01
2020-05-05,LORETO,26,2020-08-01
2020-05-05,PIURA,18,2020-08-01
2020-05-05,PUNO,1,2020-08-01
2020-05-05,TACNA,1,2020-08-01
2020-05-05,TUMBES,2,2020-08-01
2020-05-05,UCAYALI,6,2020-08-01
2020-05-06,AMAZONAS,2,2020-08-01
2020-05-06,ANCASH,16,2020-08-01
2020-05-06,CAJAMARCA,1,2020-08-01
2020-05-06,CALLAO,17,2020-08-01
2020-05-06,HUANUCO,1,2020-08-01
2020-05-06,ICA,8,2020-08-01
2020-05-06,LA LIBERTAD,5,2020-08-01
2020-05-06,LAMBAYEQUE,28,2020-08-01
2020-05-06,LIMA,102,2020-08-01
2020-05-06,LORETO,20,2020-08-01
2020-05-06,MADRE DE DIOS,1,2020-08-01
2020-05-06,PASCO,1,2020-08-01
2020-05-06,PIURA,27,2020-08-01
2020-05-06,TUMBES,4,2020-08-01
2020-05-06,UCAYALI,3,2020-08-01
2020-05-07,ANCASH,10,2020-08-01
2020-05-07,AREQUIPA,3,2020-08-01
2020-05-07,AYACUCHO,1,2020-08-01
2020-05-07,CALLAO,18,2020-08-01
2020-05-07,HUANUCO,1,2020-08-01
2020-05-07,ICA,6,2020-08-01
2020-05-07,LA LIBERTAD,3,2020-08-01
