fecha_fallecimiento,departamento,provincia,n,corte
2020-04-13,PIURA,SULLANA,1,2020-08-01
2020-04-13,TUMBES,ZARUMILLA,2,2020-08-01
2020-04-14,ANCASH,SANTA,3,2020-08-01
2020-04-14,CALLAO,CALLAO,5,2020-08-01
2020-04-14,CALLAO,NA,1,2020-08-01
2020-04-14,ICA,ICA,1,2020-08-01
2020-04-14,ICA,NAZCA,1,2020-08-01
2020-04-14,JUNIN,HUANCAYO,2,2020-08-01
2020-04-14,LA LIBERTAD,CALLAO,1,2020-08-01
2020-04-14,LA LIBERTAD,CHEPEN,1,2020-08-01
2020-04-14,LA LIBERTAD,TRUJILLO,2,2020-08-01
2020-04-14,LAMBAYEQUE,CHICLAYO,4,2020-08-01
2020-04-14,LAMBAYEQUE,FERREÑAFE,4,2020-08-01
2020-04-14,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-14,LAMBAYEQUE,NA,2,2020-08-01
2020-04-14,LIMA,LIMA,40,2020-08-01
2020-04-14,LIMA,NA,2,2020-08-01
2020-04-14,LORETO,MAYNAS,4,2020-08-01
2020-04-14,LORETO,NA,1,2020-08-01
2020-04-14,PIURA,MORROPON,1,2020-08-01
2020-04-14,PIURA,PIURA,4,2020-08-01
2020-04-14,PIURA,SULLANA,1,2020-08-01
2020-04-15,ANCASH,SANTA,3,2020-08-01
2020-04-15,AREQUIPA,AREQUIPA,1,2020-08-01
2020-04-15,CALLAO,CALLAO,3,2020-08-01
2020-04-15,ICA,ICA,1,2020-08-01
2020-04-15,LA LIBERTAD,TRUJILLO,3,2020-08-01
2020-04-15,LAMBAYEQUE,CHICLAYO,9,2020-08-01
2020-04-15,LAMBAYEQUE,FERREÑAFE,1,2020-08-01
2020-04-15,LAMBAYEQUE,LAMBAYEQUE,3,2020-08-01
2020-04-15,LAMBAYEQUE,NA,2,2020-08-01
2020-04-15,LIMA,CAÑETE,2,2020-08-01
2020-04-15,LIMA,LIMA,47,2020-08-01
2020-04-15,LIMA,NA,2,2020-08-01
2020-04-15,LORETO,MAYNAS,3,2020-08-01
2020-04-15,PIURA,MORROPON,1,2020-08-01
2020-04-15,PIURA,PIURA,6,2020-08-01
2020-04-15,UCAYALI,CORONEL PORTILLO,2,2020-08-01
2020-04-16,ANCASH,SANTA,3,2020-08-01
2020-04-16,AREQUIPA,AREQUIPA,1,2020-08-01
2020-04-16,CAJAMARCA,CHOTA,1,2020-08-01
2020-04-16,CALLAO,CALLAO,7,2020-08-01
2020-04-16,CALLAO,NA,1,2020-08-01
2020-04-16,ICA,CHINCHA,1,2020-08-01
